frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
635,10.583333,0,1092.05,985.20,1033.66,654.36,1150.45,985.20,0.862
636,10.600000,0,1090.19,988.37,1030.42,654.30,1149.96,988.37,0.858
637,10.616667,0,1088.84,988.75,1029.39,654.88,1148.29,988.75,0.872
638,10.633333,0,1088.49,988.55,1029.14,655.05,1147.84,988.55,0.867
639,10.650000,0,1087.71,987.03,1028.76,655.44,1146.65,987.03,0.869
640,10.666667,0,1087.70,987.12,1028.54,656.62,1146.85,987.12,0.866
641,10.683333,0,1086.83,987.36,1028.71,657.56,1144.96,987.36,0.864
642,10.700000,0,1087.38,988.18,1029.66,657.82,1145.11,988.18,0.855
643,10.716667,0,1087.46,988.13,1030.65,657.50,1144.26,988.13,0.848
644,10.733333,0,1087.64,988.73,1031.66,658.65,1143.63,988.73,0.849
645,10.750000,0,1087.59,988.39,1030.69,657.98,1144.50,988.39,0.855
646,10.766667,0,1087.75,987.90,1030.08,658.86,1145.42,987.90,0.860
647,10.783333,0,1088.77,986.00,1028.63,658.98,1148.92,986.00,0.866
648,10.800000,0,1089.59,983.75,1027.32,658.03,1151.87,983.75,0.862
649,10.816667,0,1086.88,984.78,1024.40,658.78,1149.37,984.78,0.867
650,10.833333,0,1084.08,983.81,1019.31,658.85,1148.85,983.81,0.857
651,10.850000,0,1081.60,982.21,1015.73,658.50,1147.47,982.21,0.852
652,10.866667,0,1080.00,982.50,1012.41,658.46,1147.59,982.50,0.859
653,10.883333,0,1075.92,979.73,1006.83,657.03,1145.01,979.73,0.852
654,10.900000,0,1072.83,977.29,1002.21,657.17,1143.45,977.29,0.853
655,10.916667,0,1064.62,972.67,999.24,656.16,1130.01,972.67,0.823
656,10.933333,0,1056.02,970.67,994.87,655.80,1117.17,970.67,0.843
657,10.950000,0,1050.91,967.15,989.40,655.03,1112.41,967.15,0.867
658,10.966667,0,1045.95,962.90,987.06,653.87,1104.85,962.90,0.880
659,10.983333,0,1044.07,960.42,984.48,652.71,1103.65,960.42,0.881
660,11.000000,0,1042.29,959.64,981.90,652.49,1102.68,959.64,0.884
661,11.016667,0,1040.28,961.10,978.43,651.87,1102.13,961.10,0.888
662,11.033333,0,1038.42,961.57,975.91,651.09,1100.93,961.57,0.889
663,11.050000,0,1037.09,961.94,973.79,650.57,1100.39,961.94,0.893
664,11.066667,0,1035.99,961.41,971.33,650.95,1100.64,961.41,0.892
665,11.083333,0,1034.88,961.39,968.28,650.90,1101.48,961.39,0.894
666,11.100000,0,1033.17,961.34,964.16,652.36,1102.18,961.34,0.900
667,11.116667,0,1032.03,960.66,961.98,653.57,1102.08,960.66,0.901
668,11.133333,0,1031.08,960.98,959.78,654.23,1102.38,960.98,0.903
669,11.150000,0,1030.60,959.41,958.90,654.64,1102.30,959.41,0.904
670,11.166667,0,1030.80,957.30,957.63,654.53,1103.97,957.30,0.900
671,11.183333,0,1029.43,954.65,954.28,655.83,1104.57,954.65,0.900
672,11.200000,0,1028.61,957.72,952.25,657.48,1104.98,957.72,0.897
673,11.216667,0,1026.98,961.86,949.98,657.37,1103.99,961.86,0.894
674,11.233333,0,1025.28,954.59,948.34,657.69,1102.21,954.59,0.898
675,11.250000,0,1023.14,958.28,946.92,658.98,1099.36,958.28,0.898
676,11.266667,0,1021.03,958.90,944.48,657.55,1097.57,958.90,0.900
677,11.283333,0,1019.69,959.69,942.91,657.05,1096.47,959.69,0.890
678,11.300000,0,1018.02,958.09,942.32,656.02,1093.72,958.09,0.886
679,11.316667,0,1016.85,957.90,942.68,655.45,1091.02,957.90,0.881
680,11.333333,0,1016.18,957.99,941.43,654.47,1090.94,957.99,0.888
681,11.350000,0,1014.81,954.54,941.59,652.00,1088.03,954.54,0.892
682,11.366667,0,1013.03,953.37,941.78,650.55,1084.28,953.37,0.896
683,11.383333,0,1011.20,951.03,940.96,650.56,1081.44,951.03,0.904
684,11.400000,0,1010.87,948.20,941.54,646.99,1080.20,948.20,0.899
685,11.416667,0,1009.39,945.26,941.85,646.40,1076.92,945.26,0.879
686,11.433333,0,1007.73,942.93,942.53,645.06,1072.93,942.93,0.874
687,11.450000,0,1005.97,941.70,942.41,644.41,1069.52,941.70,0.878
