PosX,PosY,PosZ,QuatX,QuatY,QuatZ,QuatW,EulerZ,EulerY,EulerX,TimeSeconds,FOV,LensZoom
-0.035080787,1.3878902,0.038459327,-0.010604009,0.032973476,0.012966484,0.99931586,1.5283757,3.7628453,358.73386,2.0,1.1413158,1495.5668

-0.03485841,1.3880582,0.03821022,-0.010694697,0.032936636,0.012819539,0.99931806,1.5118004,3.7586715,358.7241,2.016666666662786,1.1413158,1495.5668

-0.03471245,1.388134,0.038255922,-0.010704804,0.032962475,0.012702355,0.99931854,1.4984239,3.7617676,358.72333,2.0333333333255723,1.1413158,1495.5668

-0.0345819,1.3881773,0.038418602,-0.010654552,0.03302317,0.012628346,0.999318,1.4898232,3.768895,358.72928,2.0499999999883585,1.1413158,1495.5668

-0.034460798,1.3882129,0.038612485,-0.010564199,0.03296637,0.012579639,0.99932146,1.4838142,3.7625802,358.7399,2.0666666666802485,1.1413158,1495.5668

-0.034356717,1.388249,0.038787466,-0.0105077885,0.032749936,0.012576137,0.9993292,1.4829065,3.7378569,358.74673,2.0833333333430346,1.1413158,1495.5668

-0.03427419,1.3882823,0.03892611,-0.010388329,0.032415845,0.012649687,0.9993404,1.4904534,3.699644,358.76068,2.1000000000058208,1.1413158,1495.5668

-0.034223218,1.3884788,0.037914574,-0.010295809,0.03199672,0.012790645,0.9993531,1.5057318,3.651563,358.77145,2.116666666668607,1.1413158,1495.5668

-0.034166336,1.3885602,0.037638653,-0.010040179,0.031649213,0.012890962,0.9993655,1.5158587,3.6119924,358.801,2.133333333331393,1.1413158,1495.5668

-0.034091994,1.3886061,0.037606824,-0.009871875,0.031393647,0.012928159,0.9993747,1.5191922,3.5829072,358.8206,2.1499999999941792,1.1413158,1495.5668

-0.03399177,1.3886344,0.037658386,-0.009749542,0.031224117,0.012912743,0.9993815,1.5167696,3.5636783,358.83493,2.1666666666569654,1.1413158,1495.5668

-0.033856034,1.3886563,0.037750896,-0.009584973,0.031191468,0.012854303,0.9993848,1.5094353,3.5602522,358.85406,2.1833333333197515,1.1413158,1495.5668

-0.03368649,1.3886702,0.0378548,-0.009565714,0.031265836,0.012780831,0.9993836,1.5010271,3.56889,358.8564,2.2000000000116415,1.1413158,1495.5668

-0.033933416,1.3888509,0.038016632,-0.009837875,0.031227559,0.012805143,0.99938184,1.5047413,3.5640647,358.82516,2.2166666666744277,1.1413158,1495.5668

-0.033902362,1.388902,0.03811695,-0.009984288,0.031217543,0.0127296215,0.99938166,1.496584,3.5627866,358.80865,2.233333333337214,1.1413158,1495.5668

-0.03380087,1.388916,0.038186546,-0.009937772,0.031172518,0.012602963,0.9993852,1.4818249,3.557845,358.8145,2.25,1.1413158,1495.5668

-0.033716694,1.3889136,0.038213518,-0.009849889,0.031029165,0.012510015,0.9993917,1.470663,3.5416522,358.82513,2.266666666662786,1.1413158,1495.5668

-0.03367666,1.388911,0.03819393,-0.009641931,0.030798078,0.012447729,0.99940157,1.4624902,3.5155401,358.84958,2.2833333333255723,1.1413158,1495.5668

-0.033676967,1.388908,0.03811904,-0.009518847,0.03058099,0.012426226,0.99940974,1.4593225,3.49086,358.86414,2.2999999999883585,1.1413158,1495.5668

-0.033951018,1.3887329,0.03798112,-0.009711082,0.03055174,0.012382307,0.9994093,1.454918,3.4872773,358.84225,2.3166666666802485,1.1413158,1495.5668

-0.034076776,1.3886827,0.03785526,-0.009883504,0.030764699,0.012321299,0.9994018,1.4487896,3.5115092,358.8224,2.3333333333430346,1.1413158,1495.5668

-0.034155264,1.3886893,0.037748568,-0.009949123,0.031156119,0.012264857,0.99938977,1.4430434,3.55635,358.81442,2.3500000000058208,1.1413158,1495.5668

-0.03421381,1.3887312,0.037658393,-0.010057381,0.03164438,0.012210246,0.99937403,1.4377921,3.6122293,358.80148,2.366666666668607,1.1413158,1495.5668

-0.034266576,1.388801,0.037592333,-0.01015472,0.032149095,0.012188296,0.99935716,1.4362836,3.6699724,358.7896,2.383333333331393,1.1413158,1495.5668

-0.034319095,1.3888785,0.03755458,-0.010184687,0.0326265,0.012261302,0.9993405,1.4453987,3.7245684,358.78516,2.3999999999941792,1.1413158,1495.5668

-0.034644213,1.3889861,0.037429515,-0.010155412,0.03289245,0.012485307,0.99932927,1.4713486,3.754827,358.7873,2.4166666666569654,1.1413158,1495.5668

-0.034798965,1.3890527,0.03733918,-0.010078851,0.032795087,0.012758553,0.99932986,1.5022964,3.7434492,358.7952,2.4333333333197515,1.1413158,1495.5668

-0.03488551,1.389087,0.037252143,-0.010071449,0.03236586,0.013023315,0.9993405,1.5320966,3.6939363,358.79575,2.4500000000116415,1.1413158,1495.5668

-0.034941018,1.3891029,0.037170038,-0.010058369,0.031766977,0.013259216,0.99935675,1.5583414,3.6250215,358.79736,2.4666666666744277,1.1413158,1495.5668

-0.034972817,1.3891077,0.03712293,-0.009880593,0.03127009,0.013447579,0.9993717,1.5786753,3.5681171,358.8179,2.483333333337214,1.1413158,1495.5668

-0.034973785,1.3891001,0.03712286,-0.009627062,0.031134529,0.013502748,0.99937767,1.5839306,3.5529146,358.84702,2.5,1.1413158,1495.5668

-0.034979627,1.3890879,0.038001664,-0.0096886875,0.03133261,0.013459008,0.99937147,1.57938,3.5755734,358.83978,2.516666666662786,1.1413158,1495.5668

-0.034937896,1.3890606,0.038281236,-0.009847982,0.031843584,0.013296322,0.9993559,1.561934,3.634087,358.82126,2.5333333333255723,1.1413158,1495.5668

-0.034878574,1.3890289,0.03832698,-0.009981811,0.03244652,0.013071619,0.99933815,1.5374136,3.7032623,358.80576,2.5499999999883585,1.1413158,1495.5668

-0.034804933,1.3889887,0.03824058,-0.0101521285,0.032926694,0.012813801,0.9993241,1.5090857,3.7583585,358.78638,2.5666666666802485,1.1413158,1495.5668

-0.034720212,1.3889438,0.03805862,-0.010332233,0.03308729,0.01256481,0.9993201,1.4813989,3.7768044,358.7664,2.5833333333430346,1.1413158,1495.5668

